Template Code,Project,Category,Template Name,Language,SOP Page Title,SOP Page ID,SOP Version,Author,Confluence Link,Notes
CAN,AOPS/POS Templates,Cancellation Inquiries,CT_Cancelled_RP_Request,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Clarity on Credit Strips,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Customer Driven Cancellation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Deny_Pending_Cancellation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Determine Item Eligibility for Cancellation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,EU Investigation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,EU and NA Investigation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Incorrect Cancellation by Wayfair,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Incorrect Pricing,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Item Discontinuation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Item is Discontinued,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,Miscellaneous Processes,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,NA Investigation,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
CAN,AOPS/POS Templates,Cancellation Inquiries,New - Pending Credit Strip,EN,Cancellation Inquiry SOP (DSC2S) - VCN,1256144980,27,Former user (Deleted),https://wayfaircorp.atlassian.net/wiki/spaces/GPS/pages/1256144980,
