Template Use Case/Title,Applicable SOPs,English Text,Mandarin Text,Last Updated
green location NA Specific Ashley Reports an Item is Returned,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello Ashley Furniture Team, Thank you for bringing this to our attention. We have proceeded with ordering a replacement for PO (enter PO # here). Please proceed with filling this new PO. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Ashley Reports Item Returned - Item Delivered,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello Ashley Furniture Team, Thank you for bringing this to our attention. This PO shows as delivered. If the customer chooses to receive a replacement, a new PO will be sent to you. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Ashley Furniture Reports Incorrect Ship Method,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello Ashley Furniture Team, Thank you for bringing this to our attention. I have canceled this PO and sent a new PO, PO # (Enter New PO Here) to your (Enter Warehouse Location) warehouse. To prevent this from happening in the future I will be moving this request to our shipping solutions team to update the ship method on (include item number) from ground to freight. Please note this will change the ticket from AOPS- to CARTON-. Thank you,",,
turquoise location Applies Globally (Ashley is NA Specific) Supplier is Fill/Kill *Or Ashley Furniture,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions Product Out of Stock SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customer. I can review this process with you today. Orders are sent for processing based on the active inventory we have at the time. Please be sure your inventory feed is updated to reflect accurate information so we may provide the best customer experience possible. Please note replacements can be sent regardless of inventory. I have canceled this order on your behalf and notified the customer of the completed cancellation request. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您就此订单的状态与我们联系。我们非常感谢您对我们共同客户的关注。今天我将与您一起重新梳理这一业务流程。 订单会根据下单时的库存情况进行处理。请确保您的库存表已更新，以便我们能够提供最佳的客户体验。请注意，无论库存状态如何，系统都可以发送补件订单。 我已经代表您取消了此订单，并通知了客户取消已完成。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Serta/Simmons Reports PO Undeliverable/RTS,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello [Supplier Name], Thank you for bringing this to our attention, and I am happy to help resolve this for you today. I have cancelled the impacted PO&rsquo;s as requested for you. Please refer to Dropship Orders for any updated PO statuses as needed. If this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
Supplier Reports Split Shipment,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello [supplier name], We appreciate your consideration for our mutual customer. I am able to resolve the error for this PO today and can confirm it has been successfully replaced. A new PO will generate in your order queue as normal. The new PO is PO#. We ask that in the future Wayfair orders are shipped complete as a replacement will need to be issued for the unshipped items because our system is unable to support partial shipments and changes cannot be made to purchase orders once they have been marked as shipped. If you have further questions or need additional information, please review the following Help Center article: https://partners.wayfair.com/help/2/article/1440 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",尊敬的[supplier name]供应商团队，您好： 感谢您能站在我们共同客户的角度考虑问题。今天我已经解决此订单的问题，并确认已成功重新下单。新的订单将自动生成在您的订单队列中。 新的订单编号为 PO#。 我们恳请您今后在 Wayfair 下单时务必一次性发货，因为漏发商品需要重新发货。我们的系统不支持部分发货，且一旦订单标记为已发货，便无法更改。 如果您有任何其他疑问或需要更多信息，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/1440 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
green location NA Specific Commercial Use Products - Not Listed,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out for clarity on this order. This item is correctly labeled as residential under the product information. We do ask that you ship these. If you need a liability waiver from the customer please enter a Customer Clarification ticket to our customer outreach team who is able to reach out to the customer. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. If you have any questions on this process, please review this help center article https://partners.wayfair.com/help/2/article/209 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Commercial Use Products - Platinum+ Fulfillment,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out for clarity on this order. This item is correctly labeled as residential under the product information. It was placed by the high value business account manager contact who confirmed commercial use will not be covered under warranty. OR This is for a high value business customer and I have asked for our high value business team to inform the customer as well. (Option will change depending on whether or not Platinum+ Agent confirmed customer awareness prior to ticket closure) We do ask that you ship these. If you need a liability waiver from the customer please enter a Customer Clarification ticket to our customer outreach team who is able to reach out to the customer. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. If you have any questions on this process, please review this help center article https://partners.wayfair.com/help/2/article/209 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Fulfill Order - Non Platinum +,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [Supplier Name], Thank you for reaching out for clarity on this order. This item is correctly labeled as residential under the product information. This is for a high value business customer and I have asked for our high value business team to inform the customer as well. We do ask that you ship these. If you need a liability waiver from the customer please enter a Customer Clarification ticket to our customer outreach team who is able to reach out to the customer. We currently do not have a ticket transfer available to the customer outreach team but are working to get one. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. If you have any questions on this process, please review this help center article https://partners.wayfair.com/help/2/article/209 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]","尊敬的[supplier name]供应商团队，您好： 感谢您就此订单与我们联系。该商品已被正确标记为住宅类型。此订单面向一位高价值企业客户，我已经要求我们的高价值企业团队通知该客户。 我们要求您发货。如果您需要客户的免责声明，请提交客户澄清工单（Customer Clarification）至我们的客户服务团队，他们会联系客户。目前我们暂不支持工单转接至客户服务团队，但我们正在努力开通此功能。 您可以通过Partner Home>订单和采购订单管理（Order & PO Management）>所需的客户信息或订单说明（Customer information or order clarification needed） 左侧的""提交工单""来完成此操作。 如果您对此流程有任何疑问，请参阅此帮助中心文章： https://partners.wayfair.com/help/2/article/209 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。",
"green location NA Specific Pushback - B2B Fulfillment Dispute Should the supplier push back on process/policy after original response, please transfer them to SSD per the regular SSD transfer process.",Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customers. I can review PO X with you today. Please refer to Dropship Orders for PO details and status. Wayfair does not place restrictions on the quantity of orders. Please fulfill this PO as is. This is noted as not having a commercial warranty and any commercial use will not be covered by warranty. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",尊敬的[supplier name]供应商团队，您好： 感谢您就此订单 (PO) 的状态与我们联系。非常感谢您对我们共同客户的支持。我今天可以和您一起查看 PO X。 有关该 PO 的详细信息和状态请查看自发货订单（Dropship Orders）页面。Wayfair 对订单数量没有限制。请按原订单要求正常履约。请注意，此 PO 不包含商业保修，任何商业用途均不在保修范围内。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
