"Supplier Email Templates large warning Do NOT remove the FMOP ticket number (i.e. FMOP-XXXXX) from the subject line medium info Agents are permitted to use the email templates to respond in a ticket update, but are expected to make any necessary edits or additions, as per the GPS QC Rubric ."
Template Use Case/Title,Applicable SOPs,Text,Last Updated
Incorrect Supplier Address,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Incorrect Supplier Address To : Supplier Contacts Hi {SU Name} /Team, Our carrier partner {INSERT CARRIER NAME} attempted a pickup at the following address for {INSERT PO NUMBER(S)} but were unsuccessful. Can you please confirm the following address is accurate: {INSERT ADDRESS ADVISED BY TICKET REPORTER} If this address is correct , can you provide any instructions for the driver that would help ensure they are able to locate your staff? If your address is incorrect please confirm the full correct address in return to pass over to the carrier and update our records accordingly. Kind Regards, [Enter Associate Name]",
Supplier Does not Ship Wayfair PO&rsquo;s,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Wayfair Local Dedicated Pickup Delay- {INSERT SUPPLIER NAME} To : Supplier Contacts Hi {SU Name} /Team, Please be advised that our Wayfair Dedicated driver arrived to pick up <INSERT PO#> today at your facility, and were told the warehouse does not ship Wayfair POs Can we please get the confirmation that the pickup is expected from the following warehouse: <Insert Warehouse Name and Address>. Can we please ensure that going forward the warehouse personnel are aware of the Wayfair carriers and the pickup setup. If you have any questions or if there are other reasons for the product shipping delay, please let us know. We appreciate your partnership! Kind Regards, [Enter Associate Name]",
Only LTL Shipping,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Wayfair Dedicated Pickup Attempt - Warehouse Alignment Required To : Supplier Contacts Hi {SU Name} /Team, Please be advised that our Wayfair Dedicated driver arrived to pick up <PO#> today at your facility, and was told the warehouse ships only via LTL carriers (Estes or Mountain Valley). We have recently changed the carriers from the LTL to Local Dedicated (NRS and KKW Dedicated) and a communication was sent to the warehouse contacts pointing out this change in the carrier/ pickup setting. This approach is intended to increase speed to customers {Adjust and remove if not reported in the ticket; ""As you have recently only been receiving ~1 pickups per week"".} With the live load approach, we can accommodate up to 5x per week (Mon-Fri). Can we please ensure that going forward your team will load the freight for all large parcel pickups in the local dedicated trucks. If you have any questions or if there are other reasons for the product shipping delay, please let us know. We appreciate your partnership! Kind Regards, [Enter Associate Name]",
Supplier Refusing to load Freight,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Loading scheduled freight To : Supplier Contacts Hi {SU Name} /Team, Please be advised that our Wayfair Dedicated driver arrived to pick up <PO#> today at your facility, and was told the driver would need to load all freight for pickup. As a friendly reminder, we require all suppliers to load all of their freight for pickup. Wayfair has a ""no touch policy"" in regards to our driver's handling freight. Can we please ensure that going forward your team is loading freight for all large parcel pickups. Please let us know if you have any questions or if there are any other reasons for the product shipping delay, thanks for the partnership! Kind Regards, [Enter Associate Name]",
Products Not Ready Consistently,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Frequent delays in product readiness To : Supplier Contacts Hi {SU Name} /Team, We attempted pickups at <Supplier Name and Warehouse location> on following dates <Dates> and the carrier received feedback from the warehouse that the product was not ready. Pickups are generated based on the ""Ready for Pickup Date"" selected during the registration process and our pickup SLA is to complete the pickup within 2 days of the RFP date. We ask that freight be staged prior to the pickup being executed, to ensure a timely transition of freight. In case the product is not ready for any of the future pickups, we request you to re-register the PO for another pickup date or set a backorder date to avoid carrier dry runs. Please find below a quick guide on PO Re Registration for your reference, more information on shipping orders with Wayfair can be located in our Help Center guides here . Creating Packing Slips, BOLs, and Carton Labels 1) Login to Partner Home and go to Customer Orders > Dropship Orders. 2) Select orders by marking the boxes left of PO#. Note: ""Must Ship by Date"" is the last day an order can be marked &lsquo;Ready For Pickup&rsquo; to be on-time 3) Confirm Carrier/Class accuracy before registration. Note: Use &lsquo;Delay Orders&rsquo; if incorrect. 4) Print Documents at the bottom 5) Edit weights, carton count, freight class, and NMFC if necessary via &lsquo;Edit Shipping Details&rsquo;. Note: For product updates, use the Shipping Dimensions Tool under the Products Tab. 6) Select documents to print (All, Packing Slip, Shipping Label, Manifest). 7) Confirm the warehouse location from the dropdown menu. If palletized, enter pallet count and weight. 8) Select ""Ready for Pickup"" date. Pickups are based on this date. Register orders by 4 p.m. local time the day before the RFP date. 9) Click 'Generate Documents' after selecting RFP date to complete registration. The warehouse contact provided to Wayfair will receive an email confirmation with the POs scheduled for pickup for the following day each night around 6pm-7pm. Please let us know if you would like any additional warehouse contacts included in the mail Please let us know if you have any questions or if there are any other reasons for the product shipping delay, thanks for the partnership! Kind Regards, [INSERT ASSOCIATE OR AGENT NAME]",
Product Not Ready,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Product not ready as scheduled To : Supplier Contacts Hi {SU Name} /Team, We attempted a pickup at <Warehouse Name> for PO# and the carrier received feedback from the warehouse that the product was not ready. Pickups are generated based on the ""Ready for Pickup Date"" selected during the registration process. We ask that freight be staged prior to the pickup being executed, to ensure a timely transition of freight. In case the product is not ready for any of the future pickups, we request you to re-register the PO for another pickup date or set a backorder date to avoid carrier dry runs. Please find below a quick guide on PO Re Registration for your reference, more information on shipping orders with Wayfair can be located in our Help Center guides here . Creating Packing Slips, BOLs, and Carton Labels 1) Login to Partner Home and go to Customer Orders > Dropship Orders. 2) Select orders by marking the boxes left of PO#. Note: ""Must Ship by Date"" is the last day an order can be marked &lsquo;Ready For Pickup&rsquo; to be on-time 3) Confirm Carrier/Class accuracy before registration. Note: Use &lsquo;Delay Orders&rsquo; if incorrect. 4) Print Documents at the bottom 5) Edit weights, carton count, freight class, and NMFC if necessary via &lsquo;Edit Shipping Details&rsquo;. Note: For product updates, use the Shipping Dimensions Tool under the Products Tab. 6) Select documents to print (All, Packing Slip, Shipping Label, Manifest). 7) Confirm the warehouse location from the dropdown menu. If palletized, enter pallet count and weight. 8) Select ""Ready for Pickup"" date. Pickups are based on this date. Register orders by 4 p.m. local time the day before the RFP date. 9) Click 'Generate Documents' after selecting RFP date to complete registration. Please let us know if you have any questions or if there are any other reasons for the product shipping delay, thanks for the partnership! Kind Regards, [INSERT ASSOCIATE OR AGENT NAME]",
Supplier taking Excessive Loading Time,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Supplier loading delays To : Supplier Contacts Hi {SU Name} /Team, Please be advised that our Wayfair Dedicated drivers have reported that it has recently been taking anywhere from {Edit to time reported( 3-5 hours)} for the trailer to be loaded for pickup upon their arrival. In case the carrier is still docked at your location, we request you to allow him to proceed to his next stops. We ask that freight be staged prior to the pickup being executed, to ensure a timely transition of freight. We plan multiple supplier pickups on a route on a given day, so long loading times means we will likely miss other stops as a result. Can we please ensure that our drivers are being loaded in a timely manner moving forward. A few questions/clarifications: If you are finding drivers are arriving too early or late, then we can look at adjusting your pickup windows so that we can ensure a smooth & efficient live loading process. Please just let us know if that is the case. Do you receive the automated emails that lets you know what POs are scheduled for pickup on a given day? This list will allow you to proactively pickup, process, and state orders prior to the driver's arrival. Please let us know if you have any questions or concerns, thanks for the partnership! Kind Regards, [INSERT ASSOCIATE OR AGENT NAME]",
Supplier Contacting Carrier Directly,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : Initiating direct communication with the carrier To : Supplier Contacts Hi {SU Name} /Team, Please note that Wayfair prepares the route plan and advises the local dedicated carrier to execute the large parcel pickups as planned. Wayfair Dedicated driver or the carrier management team does not have any visibility on the pickup process. As a friendly reminder, we would like to request you to refrain from contacting the carrier to arrange the pickup for the freight. In case of any pickup related queries, we request you to raise a ticket in Partner Home for the resolution. Moving forward, please use the Partner Home path for all pickup questions or escalations. For submitting tickets regarding carrier pickup delays, please refer to our Help Center guide here: https://partners.wayfair.com/d/help-center/help/article/209#Overview Please let us know if you have any questions or if there are any other reasons for the product shipping delay, thanks for the partnership! Kind Regards, [INSERT ASSOCIATE OR AGENT NAME]",
Supplier Registering PO to incorrect warehouse,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : PO registered to incorrect warehouse To : Supplier Contacts Hi {SU Name} /Team, We attempted a pickup at the following address for {INSERT PO# NUMBER} and the driver was told the PO is expected to be shipped from a different warehouse. {Insert address advised in the ticket} We request you to re-register the PO from the updated address to get that picked up from the correct warehouse. The pickups are generated based on the Warehouse and &lsquo;Ready for Pickup Date&rsquo; selected during the registration process. Please ensure that the correct warehouses are selected during the registration process going forward. Please let us know if you have any questions, thanks for the partnership! Kind Regards, [INSERT ASSOCIATE OR AGENT NAME]",
Supplier Loading PO&rsquo;s not in Manifest,WDN Supplier Outreach SOP (DSC2S) - VCN,"medium info Subject : POs not included in the manifest being loaded To : Supplier Contacts Hi {SU Name} /Team, Please note we had a driver arrive for pickup {INSERT date} and we received feedback that your team attempted to load POs that were not included on the driver's manifest (INSERT PO#s) . It is imperative to only load freight that is listed on the driver's manifest, as we plan multiple supplier pickups on a given route. When POs are loaded that are not scheduled for pickup, we miss other supplier pickups as a result. Can we please ensure to load the drivers with only POs listed on their manifest going forward? In the event a driver arrives for pickup, and you believe there is a discrepancy with POs on the driver's manifest, use the Partner Home path for all pickup questions or escalations. For submitting tickets regarding carrier pickup delays, please refer to our Help Center guide here: https://partners.wayfair.com/d/help-center/help/article/209#Overview Please let us know if you have any questions, thanks for the partnership! Kind Regards, [INSERT ASSOCIATE OR AGENT NAME]",
