Template Use Case/Title,Applicable SOPs,Text,Last Updated
CT Asking for PO to be Held,WIMS - Ship Status SOP (DSC2S) Process Other Reasons for Outreach,"Hi CUSTOMER_NAME, We received your request to hold the shipment of your STORE_NAME Order XXXXXXXXXX. Unfortunately, our warehouse processes orders immediately to avoid loss or damage, so we're unable to delay shipping. You may be able to set delivery instructions, like vacation holds, directly with the carrier by checking the tracking details on their website. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We received your request to hold the dispatch of your Wayfair Order XXXXXXXXXX. Unfortunately, our warehouse processes orders immediately to avoid loss or damage, so we're unable to delay dispatch. You may be able to arrange delivery instructions, such as holiday holds, directly with the courier by checking the tracking details on their website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Canada Order,WIMS - Ship Status SOP (DSC2S) Process Has Scan Data,"Hi CUSTOMER_NAME, Thank you for your patience regarding your STORE_NAME Order XXXXXXXXXX. - Your order has shipped and is currently in transit to the US. Once it arrives at the border and clears customs, we will provide you with additional tracking information. - Your order is currently at our US consolidation center preparing to be shipped. Once it arrives at the border and clears customs, we will provide you with additional tracking information. - Your order is currently in transit to the US/Canadian border. Once it arrives at the border and clears customs, we will provide you with additional tracking information. - Your order is at our Canadian warehouse and will ship with CARRIER_NAME, tracking number TRACKING_NUMBER. The estimated delivery date is SELECT_DATE. Please allow up to 14 days for tracking to display movement. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team",
Cancelled by another department,Template is not currently referenced within any SOPs,"Hi CUSTOMER_NAME, We apologize for the delay regarding your STORE_NAME Order XXXXXXXXXX. Unfortunately, we&rsquo;ve been notified that your order has been canceled. You should have received an auto-generated email with more details. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay regarding your Wayfair Order XXXXXXXXXX. Unfortunately, we&rsquo;ve been notified that your order has been canceled. You should have received an auto-generated email with more details. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Cancelled due to Automation,WIMS - Ship Status SOP (DSC2S) Process Cancelled/Refunded,"Hi CUSTOMER_NAME, Thank you for your patience while we investigated your STORE_NAME Order XXXXXXXXXX. Unfortunately, we are unable to fulfill your order. As a result, we&rsquo;ve processed a refund to your original payment method, which should appear within 3-5 business days. We understand this isn&rsquo;t the update you were hoping for, and we apologize for the disappointment. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for your patience while we investigated your Wayfair Order XXXXXXXXXX. Unfortunately, we are unable to fulfill your order. As a result, we&rsquo;ve processed a refund to your original payment method, which should appear within 3-5 business days. You can view your order and refund details anytime through My Account. We understand this isn&rsquo;t the update you were hoping for, and we apologise for the disappointment. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Canceling/Refunding Discontinued,WIMS - Ship Status SOP (DSC2S) Process Cancelled/Refunded,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for not following up sooner. Unfortunately, this item has been discontinued and is no longer being manufactured. As a result, we&rsquo;ve processed a refund to your original payment method, which should appear within 3-5 business days. We understand this isn&rsquo;t the update you were hoping for, and we're sorry for the disappointment. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for not following up sooner. Unfortunately, this item has been discontinued and is no longer being manufactured. As a result, we&rsquo;ve processed a refund to your original payment method, which should appear within 3-5 business days.You can view your order and refund details anytime through My Account. We understand this isn&rsquo;t the update you were hoping for, and we're sorry for the disappointment. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
CT Asked for a Manager,WIMS - Ship Status SOP (DSC2S) Process Other Reasons for Outreach,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for any inconvenience this has caused. Should you wish to escalate your concerns or speak with a supervisor, please reach out to our Customer Service team through My Account on our website. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for any inconvenience this has caused. Should you wish to escalate your concerns or speak with a supervisor, please reach out to our Customer Service team through My Account on our website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
CT Asking For Discount,WIMS - Ship Status SOP (DSC2S) Process Other Reasons for Outreach,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of updates. We try to offer the most accurate and fast shipping options to our customers. However, unfortunately, shipping delays can occur. We are unable to offer compensation in such instances. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of updates. We try to offer the most accurate and fast shipping options to our customers. However, unfortunately, shipping delays can occur. We are unable to offer compensation in such instances. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
CT Wants More Information,WIMS - Ship Status SOP (DSC2S) Process Backordered Other Reasons for Outreach,"Hi CUSTOMER_NAME, Thank you for reaching back out to us -- we apologize for the delay of your STORE_NAME Order XXXXXXXXXX. Unfortunately, I&rsquo;m unable to get additional information about your order or its shipping status. If you&rsquo;d prefer to wait, we can keep your order as it stands. If you'd rather not continue waiting, we can cancel the order for you. For additional help, please visit My Orders Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for reaching back out to us -- we apologise for the delay of your Wayfair Order XXXXXXXXXX. Unfortunately, I&rsquo;m unable to get additional information about your order or its shipping status. If you&rsquo;d prefer to wait, we can keep your order as it stands. If you'd rather not continue waiting, we can cancel the order for you. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Deemed LIT/Incomplete - Refunded,WIMS - Ship Status SOP (DSC2S) Process Cancelled/Refunded,"Hi CUSTOMER_NAME, Thank you for your patience while we investigated your STORE_NAME Order XXXXXXXXXX. We regret to inform you that your ITEM_NAME has been deemed lost in transit, as the tracking has not been updated in several days. Unfortunately, this item is now out of stock with no expected restock date. We&rsquo;ve processed a refund to your original payment method. Please allow 3-5 business days for the refund to appear. You can view your order and refund details anytime through My Account. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for your patience while we investigated your Wayfair Order XXXXXXXXXX. We regret to inform you that your ITEM_NAME has been deemed lost in transit, as the tracking has not been updated in several days. Unfortunately, this item is now out of stock with no expected restock date. We&rsquo;ve processed a refund to your original payment method. Please allow 3-5 business days for the refund to appear. You can view your order and refund details anytime through My Account. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Delays in Shipping of Up to 10 Days,WIMS - Ship Status SOP (DSC2S) Process Incomplete,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. Your order was marked as shipped on SELECT_DATE with tracking number(s): TRACKING_NUMBERS. Please note that it can take up to 10 days for tracking to show movement. If there is no movement after 10 days, please submit an inquiry through My Account, and we&rsquo;ll be happy to assist you further. For additional help or to check the status of your order please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. Your order was marked as shipped on SELECT_DATE with tracking number(s): TRACKING_NUMBERS. Please note that it can take up to 10 days for tracking to show movement. If there is no movement after 10 days, please submit an inquiry through My Account, and we&rsquo;ll be happy to assist you further. For additional help or to check the status of your order please visit My Orders . Sincerely, Your Wayfair Team",
